domain,site,plot,measurementLevel,sensorDepths,startDate,endDate
3,JERC,4,1,-0.06,20100101125959,NA
3,JERC,4,2,-0.16,20100101125959,NA
3,JERC,4,3,-0.26,20100101125959,NA
3,JERC,4,4,-0.46,20100101125959,NA
3,JERC,4,5,-0.76,20100101125959,NA
3,JERC,4,6,-0.96,20100101125959,NA
3,JERC,4,7,-1.46,20100101125959,NA
3,JERC,4,8,-1.96,20100101125959,NA
3,JERC,5,1,-0.06,20100101125959,NA
3,JERC,5,2,-0.16,20100101125959,NA
3,JERC,5,3,-0.26,20100101125959,NA
3,JERC,5,4,-0.46,20100101125959,NA
3,JERC,5,5,-0.76,20100101125959,NA
3,JERC,5,6,-0.96,20100101125959,NA
3,JERC,5,7,-1.46,20100101125959,NA
3,JERC,5,8,-1.96,20100101125959,NA
3,OSBS,1,1,-0.07,20100101125959,NA
3,OSBS,1,2,-0.17,20100101125959,NA
3,OSBS,1,3,-0.27,20100101125959,NA
3,OSBS,1,4,-0.57,20100101125959,NA
3,OSBS,1,5,-0.77,20100101125959,NA
3,OSBS,1,6,-0.97,20100101125959,NA
3,OSBS,1,7,-1.57,20100101125959,NA
3,OSBS,1,8,-1.97,20100101125959,NA
3,OSBS,2,1,-0.06,20100101125959,NA
3,OSBS,2,2,-0.16,20100101125959,NA
3,OSBS,2,3,-0.26,20100101125959,NA
3,OSBS,2,4,-0.56,20100101125959,NA
3,OSBS,2,5,-0.76,20100101125959,NA
3,OSBS,2,6,-0.96,20100101125959,NA
3,OSBS,2,7,-1.56,20100101125959,NA
3,OSBS,2,8,-1.96,20100101125959,NA
3,OSBS,3,1,-0.07,20100101125959,NA
3,OSBS,3,2,-0.17,20100101125959,NA
3,OSBS,3,3,-0.27,20100101125959,NA
3,OSBS,3,4,-0.57,20100101125959,NA
3,OSBS,3,5,-0.77,20100101125959,NA
3,OSBS,3,6,-0.97,20100101125959,NA
3,OSBS,3,7,-1.57,20100101125959,NA
3,OSBS,3,8,-1.97,20100101125959,NA
3,OSBS,4,1,-0.06,20100101125959,NA
3,OSBS,4,2,-0.16,20100101125959,NA
3,OSBS,4,3,-0.26,20100101125959,NA
3,OSBS,4,4,-0.56,20100101125959,NA
3,OSBS,4,5,-0.76,20100101125959,NA
3,OSBS,4,6,-0.96,20100101125959,NA
3,OSBS,4,7,-1.56,20100101125959,NA
3,OSBS,4,8,-1.96,20100101125959,NA
3,OSBS,5,1,-0.07,20100101125959,NA
3,OSBS,5,2,-0.17,20100101125959,NA
3,OSBS,5,3,-0.27,20100101125959,NA
3,OSBS,5,4,-0.57,20100101125959,NA
3,OSBS,5,5,-0.77,20100101125959,NA
3,OSBS,5,6,-0.97,20100101125959,NA
3,OSBS,5,7,-1.57,20100101125959,NA
3,OSBS,5,8,-1.97,20100101125959,NA
4,GUAN,1,1,-0.06,20100101125959,NA
4,GUAN,1,2,-0.16,20100101125959,NA
4,GUAN,1,3,-0.26,20100101125959,NA
4,GUAN,1,4,-0.46,20100101125959,NA
4,GUAN,1,5,-0.96,20100101125959,NA
4,GUAN,1,6,-1.16,20100101125959,NA
4,GUAN,1,7,-1.46,20100101125959,NA
4,GUAN,1,8,-1.96,20100101125959,NA
4,GUAN,2,1,-0.055,20100101125959,NA
4,GUAN,2,2,-0.155,20100101125959,NA
4,GUAN,2,3,-0.255,20100101125959,NA
4,GUAN,2,4,-0.455,20100101125959,NA
